City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,champerico,14.3,-91.9167,32.3,72,93,0.85,GT,1693413673
85,chandler,33.3062,-111.8412,38.18,32,40,6.17,US,1693413495
86,chefchaouene,35.1688,-5.2636,28.76,27,1,2.79,MA,1693413673
87,chimore,-16.9833,-65.1333,36.7,27,34,2.36,BO,1693413673
88,chinde,26.8418,88.0763,20.02,82,44,1.68,NP,1693413674
89,chipinge,-20.1883,32.6236,13.88,63,16,1.93,ZW,1693413674
90,choibalsan,48.0667,114.5,12.74,63,58,3.79,MN,1693413674
91,cidade velha,14.9167,-23.6167,28.26,83,75,4.12,CV,1693413674
92,cidreira,-30.1811,-50.2056,17.84,72,1,3.12,BR,1693413674
93,ciudad lazaro cardenas,17.9583,-102.2,30.53,67,13,1.44,MX,1693413674
94,ciurea,47.05,27.5667,19.32,83,20,4.12,RO,1693413674
95,coahuayana de hidalgo,18.7,-103.6583,31.78,63,72,1.85,MX,1693413674
96,codrington,-38.2667,141.9667,9.72,80,100,4.99,AU,1693413674
97,cole harbour,44.6724,-63.4751,21.66,97,100,5.14,CA,1693413674
98,college,64.8569,-147.8028,11.71,92,75,2.06,US,1693413674
99,comodoro rivadavia,-45.8667,-67.5,11.92,35,20,14.92,AR,1693413674
100,conception bay south,47.4999,-52.9981,23.64,76,100,5.38,CA,1693413674
101,constantia,44.1833,28.65,26.5,79,40,3.05,RO,1693413675
102,cooma,-36.2333,149.1333,5.54,95,37,0.09,AU,1693413675
103,coquimbo,-29.9533,-71.3436,16.85,67,0,5.14,CL,1693413675
104,corn island,12.1694,-83.0418,29.23,75,100,3.03,NI,1693413675
105,corner brook,48.9667,-57.9484,22.09,87,100,2.87,CA,1693413406
106,coronel dorrego,-38.7187,-61.2873,16.28,34,99,7.88,AR,1693413675
107,coyhaique,-45.5752,-72.0662,6.97,53,40,4.63,CL,1693413675
108,crane,31.3974,-102.3501,29.87,30,36,3.08,US,1693413675
109,cueto,20.6439,-75.9356,34.29,39,62,2.45,CU,1693413675
110,curillo,1.0333,-75.9191,34.18,42,17,1.11,CO,1693413675
111,dabai,11.4765,5.2063,26.37,76,98,3.32,NG,1693413675
112,dalnerechensk,45.9339,133.7225,17.31,96,100,0.93,RU,1693413675
113,dampit,-8.2116,112.7493,19.39,96,71,1.12,ID,1693413675
114,dapa,9.7594,126.0531,28.1,76,50,2.73,PH,1693413676
115,dashtobod,40.1269,68.4944,23.71,37,74,6.81,UZ,1693413676
116,dauphin,51.1494,-100.0502,21.08,60,0,1.03,CA,1693413627
117,dawei,14.0833,98.2,25.17,92,93,0.76,MM,1693413676
118,diok'nisi,41.6293,42.3917,19.05,89,23,1.54,GE,1693413676
119,dompu,-8.5356,118.4622,21.01,95,26,0.95,ID,1693413676
120,douglas,41.3,-96.167,27.6,54,0,4.63,US,1693413676
121,dryden,49.7833,-92.7503,18.16,72,0,1.03,CA,1693413676
122,dudinka,69.4058,86.1778,8.68,65,3,6.8,RU,1693413676
123,durban,-29.8579,31.0292,21.51,83,0,7.63,ZA,1693413399
